dataset,dropout_p,split_index,epochs,rmse,ll,picp95,mpiw95,mean_var_aleatoric,mean_var_epistemic,timestamp,git_commit
energy,0.005,1,1000,0.6595196962354343,-1.0363099633482327,0.974025974025974,3.168545147642796,0.440783354757325,0.21871298007411524,2026-08-28T23:53:17.216931+00:00,1806733
energy,0.005,2,1000,0.6507644580189356,-1.0577082112492664,0.974025974025974,3.2154423747647414,0.4790532992925286,0.19807783909391669,2026-08-28T23:53:28.282776+00:00,1806733
energy,0.005,3,1000,0.5157468098607207,-0.943919737439495,1.0,3.3456301725577267,0.48878570554548423,0.2484579928502749,2026-08-28T23:53:28.322922+00:00,1806733
energy,0.005,4,1000,0.665845798154732,-1.04530720700599,0.961038961038961,3.0304350278590118,0.4136820434981519,0.18746701266488688,2026-08-28T23:53:39.586584+00:00,1806733
energy,0.005,5,1000,0.528790670035553,-0.9294165886859468,0.987012987012987,3.201014149542256,0.4687806958193932,0.20307385102728423,2026-08-28T23:53:39.627962+00:00,1806733
energy,0.005,6,1000,0.602232207756223,-1.0018780976356405,0.987012987012987,3.270845432626204,0.46715046462364884,0.23912123159851406,2026-08-28T23:53:50.030172+00:00,1806733
energy,0.005,7,1000,0.5473997952815077,-0.9527239550739305,0.987012987012987,3.181130080004402,0.42384089380201134,0.2409760994488681,2026-08-28T23:53:50.819949+00:00,1806733
energy,0.005,8,1000,0.76168284312563,-1.1618314988026754,0.987012987012987,2.9752036941452227,0.40737704140274894,0.17128460909952012,2026-08-28T23:54:01.081444+00:00,1806733
energy,0.005,9,1000,0.5843930709020219,-0.9592761981660507,0.974025974025974,3.1400526613368465,0.45324892231807656,0.19154327044555194,2026-08-28T23:54:01.961830+00:00,1806733
energy,0.005,10,1000,0.5782156544433646,-0.9801039682936301,0.987012987012987,3.2415892334620997,0.49288245288458316,0.19399654535784844,2026-08-28T23:54:12.016213+00:00,1806733
energy,0.005,11,1000,0.5330832368132384,-0.9143548216095597,0.961038961038961,3.0777419277080096,0.43578143249872,0.1859831874186861,2026-08-28T23:54:13.041079+00:00,1806733
energy,0.005,12,1000,0.5916843446612964,-0.9726103425688992,0.974025974025974,3.0166150671903247,0.42399839461747985,0.1713386649964661,2026-08-28T23:54:23.054426+00:00,1806733
