dataset,method,metric,split_index,own_value,published_value,difference
yacht,mcd,rmse,2,1.3646466780082764,0.36680925031115097,0.9978374276971255
yacht,mcd,rmse,3,2.3666037511668123,0.7439440454474578,1.6226597057193546
yacht,mcd,rmse,4,2.29395407764269,0.5377407748143762,1.7562133028283138
yacht,mcd,rmse,5,0.8521375792260927,0.576525109098027,0.27561247012806567
yacht,mcd,rmse,6,0.5689674210483798,0.4529432465887782,0.11602417445960161
yacht,mcd,rmse,7,2.617223228079371,0.949718148944075,1.6675050791352959
yacht,mcd,rmse,8,1.3978871129206596,0.4860618264838019,0.9118252864368577
yacht,mcd,rmse,9,0.97628712734473,0.38826199577129017,0.5880251315734398
yacht,mcd,rmse,10,2.1871627549803496,0.7968458989372855,1.390316856043064
yacht,mcd,rmse,11,1.6917719297578069,1.2587985706266305,0.4329733591311764
yacht,mcd,rmse,12,1.8533267275564247,0.6656787824784248,1.187647945078
yacht,mcd,rmse,13,1.4163609779856896,0.6045064321965646,0.811854545789125
yacht,mcd,rmse,14,1.9689923340714304,0.6383038723060603,1.33068846176537
yacht,mcd,rmse,15,1.433375882990595,0.49768147509054395,0.935694407900051
yacht,mcd,rmse,16,1.6348189955457573,0.48652183771178675,1.1482971578339705
yacht,mcd,rmse,17,1.6758456991281678,0.7128305590126972,0.9630151401154706
yacht,mcd,rmse,18,1.7052270720929126,0.6866121445155889,1.0186149275773237
yacht,mcd,rmse,19,2.866949414818916,0.9842739956588167,1.8826754191600994
