dataset,split_index,dropout_p,tau,n_train,n_validation,epochs,validation_rmse,validation_ll,timestamp,git_commit
concrete,0,0.1,0.075,741,186,4000,5.555540734032432,-3.1057184369758857,2026-08-30T23:55:09.970365+00:00,1806733
concrete,1,0.005,0.025,741,186,4000,5.415971409673446,-3.1067986382197654,2026-08-30T23:55:10.020807+00:00,1806733
concrete,1,0.005,0.05,741,186,4000,5.171969576531321,-2.98610458696337,2026-08-30T23:55:10.042985+00:00,1806733
concrete,1,0.005,0.075,741,186,4000,5.427527533584058,-3.0107791929036387,2026-08-30T23:55:10.067511+00:00,1806733
concrete,1,0.01,0.025,741,186,4000,5.238035287907766,-3.1090460356877694,2026-08-30T23:55:10.090267+00:00,1806733
concrete,1,0.01,0.05,741,186,4000,5.197985169591849,-2.991066193117359,2026-08-30T23:55:10.115501+00:00,1806733
concrete,1,0.01,0.075,741,186,4000,5.216426721958027,-2.9838702594454323,2026-08-30T23:55:10.138396+00:00,1806733
concrete,1,0.05,0.025,741,186,4000,5.498285431908227,-3.1776909471243338,2026-08-30T23:55:10.165581+00:00,1806733
concrete,1,0.05,0.05,741,186,4000,5.41933835506819,-3.0956291714025093,2026-08-30T23:55:10.189112+00:00,1806733
concrete,1,0.05,0.075,741,186,4000,5.419814590346764,-3.09660535604977,2026-08-30T23:55:10.213250+00:00,1806733
concrete,1,0.1,0.025,741,186,4000,6.027767722860769,-3.26432335099165,2026-08-30T23:55:10.238395+00:00,1806733
concrete,1,0.1,0.05,741,186,4000,6.003945027830901,-3.2097761139327465,2026-08-30T23:55:10.262119+00:00,1806733
concrete,1,0.1,0.075,741,186,4000,6.045550860070546,-3.232692496177138,2026-08-30T23:55:10.285856+00:00,1806733
concrete,2,0.005,0.025,741,186,4000,4.403123369530773,-3.024810069296571,2026-08-30T23:55:10.334987+00:00,1806733
concrete,2,0.005,0.05,741,186,4000,4.38145824021652,-2.9037036634775304,2026-08-30T23:55:10.358707+00:00,1806733
concrete,2,0.005,0.075,741,186,4000,4.470802104639089,-2.917216644365258,2026-08-30T23:55:10.382606+00:00,1806733
concrete,2,0.01,0.025,741,186,4000,4.516874689657666,-3.0441366312816873,2026-08-30T23:55:10.406711+00:00,1806733
concrete,2,0.01,0.05,741,186,4000,4.467754330211945,-2.9210491711787605,2026-08-30T23:55:10.433235+00:00,1806733
concrete,2,0.01,0.075,741,186,4000,4.3852956897883315,-2.8883512641689646,2026-08-30T23:55:10.457199+00:00,1806733
concrete,2,0.05,0.025,741,186,4000,5.294784202944433,-3.156260230209215,2026-08-30T23:55:10.480276+00:00,1806733
concrete,2,0.05,0.05,741,186,4000,5.310504200733999,-3.076936491484293,2026-08-30T23:55:10.504698+00:00,1806733
concrete,2,0.05,0.075,741,186,4000,5.2902122592672916,-3.073263452130405,2026-08-30T23:55:10.531019+00:00,1806733
concrete,2,0.1,0.025,741,186,4000,5.984433428323545,-3.2459166527497945,2026-08-30T23:55:10.554927+00:00,1806733
concrete,2,0.1,0.05,741,186,4000,5.96089145555923,-3.1881416382788372,2026-08-30T23:55:10.580152+00:00,1806733
concrete,2,0.1,0.075,741,186,4000,5.979815687753649,-3.2001565929096984,2026-08-30T23:55:10.605508+00:00,1806733
concrete,3,0.005,0.025,741,186,4000,5.956792851348334,-3.1591710866299048,2026-08-30T23:55:10.653609+00:00,1806733
concrete,3,0.005,0.05,741,186,4000,6.070053601780208,-3.068829391383914,2026-08-30T23:55:10.677960+00:00,1806733
concrete,3,0.005,0.075,741,186,4000,5.923847595911364,-3.059051260418901,2026-08-30T23:55:10.702431+00:00,1806733
concrete,3,0.01,0.025,741,186,4000,6.2036716314313285,-3.2019643731810516,2026-08-30T23:55:10.725839+00:00,1806733
concrete,3,0.01,0.05,741,186,4000,6.243371935266733,-3.1470308578061124,2026-08-30T23:55:10.748874+00:00,1806733
concrete,3,0.01,0.075,741,186,4000,6.257431687874109,-3.190730478108091,2026-08-30T23:55:10.773497+00:00,1806733
concrete,3,0.05,0.025,741,186,4000,6.124438667572101,-3.221188027695861,2026-08-30T23:55:10.798981+00:00,1806733
concrete,3,0.05,0.05,741,186,4000,6.217981014738299,-3.1738482184393884,2026-08-30T23:55:10.825189+00:00,1806733
