experiment_id,dataset,method,T,repeat,init_seed,predict_seed,mpiw95,picp95,ll,rmse,mean_std_epistemic,mean_var_epistemic,timestamp,git_commit
e6a,sin_homo,bbb,10,3,0,3000,0.7496563952018906,0.658,-2.680758356497079,0.5225370655114269,0.09994604423743118,0.010630482774444824,2026-08-31T19:39:04.408206+00:00,1806733
e6a,sin_homo,bbb,10,4,0,4000,0.8416336184309146,0.685,-1.8054836211831788,0.48996243543012996,0.13993494968260514,0.020244989005171382,2026-08-31T19:39:04.447109+00:00,1806733
e6a,sin_homo,bbb,10,5,0,5000,0.7978832783015446,0.675,-2.4197347722286198,0.49950921184432506,0.12126019356475273,0.015623587706365858,2026-08-31T19:39:04.484187+00:00,1806733
e6a,sin_homo,bbb,10,6,0,6000,0.8819440820518243,0.694,-1.4896438610724192,0.49190548028539666,0.1524177306264455,0.025653086795403214,2026-08-31T19:39:04.518059+00:00,1806733
e6a,sin_homo,bbb,10,7,0,7000,0.8036551560668382,0.668,-2.4599139486965615,0.5020759525803845,0.12586607800520463,0.015926609006134202,2026-08-31T19:39:04.555920+00:00,1806733
e6a,sin_homo,bbb,10,8,0,8000,0.7949052849200027,0.69,-1.5484429417951953,0.46518930211099124,0.11941397071442214,0.015386698512401422,2026-08-31T19:39:04.589667+00:00,1806733
e6a,sin_homo,bbb,10,9,0,9000,1.0027289512713995,0.711,-1.6216634919617712,0.49643274537863336,0.1909332987364694,0.04306087985990594,2026-08-31T19:39:04.621753+00:00,1806733
e6a,sin_homo,bbb,20,0,0,0,0.7867743563825625,0.668,-2.6593979344156407,0.5201716830902711,0.11675260344286716,0.01443460892778635,2026-08-31T19:39:04.659062+00:00,1806733
e6a,sin_homo,bbb,20,1,0,1000,0.8512991325586301,0.677,-2.0355337290388844,0.5132146857442996,0.14308760658616468,0.02152355630285042,2026-08-31T19:39:04.693977+00:00,1806733
e6a,sin_homo,bbb,20,2,0,2000,0.8414182503157915,0.683,-2.1108181275823132,0.502969130156477,0.13466263597143271,0.02124380108601057,2026-08-31T19:39:04.730954+00:00,1806733
e6a,sin_homo,bbb,20,3,0,3000,0.8025655822510801,0.673,-2.2300073667624676,0.50502350766323,0.12543826465711855,0.01581041602147227,2026-08-31T19:39:04.775614+00:00,1806733
e6a,sin_homo,bbb,20,4,0,4000,0.8604389172365476,0.683,-1.9932619035454602,0.5080279155578682,0.14597664187789275,0.022697871287749385,2026-08-31T19:39:04.817542+00:00,1806733
e6a,sin_homo,bbb,20,5,0,5000,0.7886942003326926,0.672,-2.3954771767313314,0.5113269815150565,0.11825323960771014,0.014559213721248184,2026-08-31T19:39:04.860298+00:00,1806733
e6a,sin_homo,bbb,20,6,0,6000,0.8787323896527617,0.684,-1.750272507520066,0.5072902807193856,0.15414375800699412,0.024466531027724916,2026-08-31T19:39:04.898406+00:00,1806733
e6a,sin_homo,bbb,20,7,0,7000,0.8007447439070133,0.674,-2.2040056673153576,0.4930405948114165,0.12316968906279033,0.01586120353114047,2026-08-31T19:39:04.940895+00:00,1806733
e6a,sin_homo,bbb,20,8,0,8000,0.7883343388654551,0.689,-1.6680887490293592,0.47293064071190194,0.11653049449288791,0.014685541014859398,2026-08-31T19:39:04.978760+00:00,1806733
e6a,sin_homo,bbb,20,9,0,9000,0.8849030946232597,0.686,-1.8847841444343398,0.5067279431750915,0.15292738650283785,0.026162136596820804,2026-08-31T19:39:05.017949+00:00,1806733
e6a,sin_homo,bbb,50,0,0,0,0.8140170022933106,0.671,-2.367229227483623,0.513462436292006,0.12791607800170507,0.01738545830679168,2026-08-31T19:39:05.076872+00:00,1806733
e6a,sin_homo,bbb,50,1,0,1000,0.8134410262324233,0.676,-2.1792624536337852,0.5045027855277685,0.12786048232530525,0.01733383983134026,2026-08-31T19:39:05.151795+00:00,1806733
e6a,sin_homo,bbb,50,2,0,2000,0.8227504201664336,0.679,-2.1893351611101175,0.5015343240366648,0.1307897399771589,0.018474992397786074,2026-08-31T19:39:05.217897+00:00,1806733
e6a,sin_homo,bbb,50,3,0,3000,0.820609485124228,0.674,-2.1532435884536394,0.5018081303138408,0.1327269114201136,0.017739543436411275,2026-08-31T19:39:05.279205+00:00,1806733
e6a,sin_homo,bbb,50,4,0,4000,0.8269492716891855,0.674,-2.1223528158685867,0.5143121180825441,0.1336372368148038,0.018756255291833505,2026-08-31T19:39:05.356627+00:00,1806733
e6a,sin_homo,bbb,50,5,0,5000,0.8343328848332883,0.679,-2.0043840362262335,0.5063742369334342,0.13677233265651814,0.01954760552882606,2026-08-31T19:39:05.413783+00:00,1806733
e6a,sin_homo,bbb,50,6,0,6000,0.8319070853243604,0.673,-2.1184474297461815,0.514842344001278,0.13514925439375472,0.019394693518891493,2026-08-31T19:39:05.470212+00:00,1806733
e6a,sin_homo,bbb,50,7,0,7000,0.8031037510617919,0.678,-2.2403533667274975,0.4902898960728183,0.12354460227832514,0.01618184660594783,2026-08-31T19:39:05.523893+00:00,1806733
e6a,sin_homo,bbb,50,8,0,8000,0.7972657155546663,0.676,-2.0134477344923836,0.4950362388670473,0.12264874675204365,0.015347682050669545,2026-08-31T19:39:05.580751+00:00,1806733
e6a,sin_homo,bbb,50,9,0,9000,0.8506677111846477,0.685,-1.8768845611038305,0.4921368657424398,0.14072090786551608,0.021894431301750762,2026-08-31T19:39:05.634733+00:00,1806733
e6a,sin_homo,bbb,100,0,0,0,0.8297735451722387,0.683,-2.0819594873450504,0.4940607547518006,0.1339560251266077,0.019205367354031878,2026-08-31T19:39:05.726392+00:00,1806733
e6a,sin_homo,bbb,100,1,0,1000,0.8271713615500551,0.677,-2.1122317787291007,0.49806566609046493,0.13378195210709662,0.018755517413659797,2026-08-31T19:39:05.819127+00:00,1806733
e6a,sin_homo,bbb,100,2,0,2000,0.8236133645588736,0.68,-2.0654161773738378,0.49404419535211447,0.13249293200057302,0.018333474735015967,2026-08-31T19:39:05.924254+00:00,1806733
e6a,sin_homo,bbb,100,3,0,3000,0.8128291655070837,0.678,-2.1772139526732017,0.49605293792185423,0.12919156464169876,0.016974530084539745,2026-08-31T19:39:06.019087+00:00,1806733
e6a,sin_homo,bbb,100,4,0,4000,0.8166839804903979,0.674,-2.1887432561047016,0.5093660122755993,0.12948976284772484,0.017633359617620085,2026-08-31T19:39:06.107344+00:00,1806733
e6a,sin_homo,bbb,100,5,0,5000,0.8330818405789959,0.681,-2.009847241766169,0.5023833708211273,0.1360597213757137,0.019443217022053243,2026-08-31T19:39:06.202398+00:00,1806733
e6a,sin_homo,bbb,100,6,0,6000,0.8175404710142254,0.673,-2.210007400979315,0.5114308234415543,0.12975803716188838,0.017736205201307878,2026-08-31T19:39:06.299309+00:00,1806733
e6a,sin_homo,bbb,100,7,0,7000,0.7968999623069802,0.679,-2.156394943351432,0.4871305630264364,0.12175412122668966,0.015415717434709469,2026-08-31T19:39:06.406528+00:00,1806733
e6a,sin_homo,bbb,100,8,0,8000,0.817886718679741,0.677,-1.9891034414452886,0.495776377266789,0.130462185484678,0.017667355700976068,2026-08-31T19:39:06.507693+00:00,1806733
e6a,sin_homo,bbb,100,9,0,9000,0.8518319571998755,0.685,-1.949549158599838,0.49560946194620503,0.1429491597516272,0.021633318465286003,2026-08-31T19:39:06.597762+00:00,1806733
e6a,sin_homo,bbb,200,0,0,0,0.8358202237588872,0.685,-2.003591476945883,0.4911846863621789,0.13696077315523966,0.01976833310519104,2026-08-31T19:39:06.787554+00:00,1806733
e6a,sin_homo,bbb,200,1,0,1000,0.8156987420157541,0.678,-2.085901896068611,0.49167564968782124,0.1293936467504838,0.017459326343335944,2026-08-31T19:39:06.952197+00:00,1806733
e6a,sin_homo,bbb,200,2,0,2000,0.824185325114516,0.68,-2.128344527027476,0.4937961871535973,0.13249862264351178,0.018427629427191634,2026-08-31T19:39:07.106881+00:00,1806733
e6a,sin_homo,bbb,200,3,0,3000,0.804507961203783,0.677,-2.193447437163621,0.4936550823454942,0.12537830700863928,0.016153842813953028,2026-08-31T19:39:07.262137+00:00,1806733
