dataset,method,epochs,seed,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,train_time_s,timestamp,git_commit
wine_quality_red,map,1000,2,1151,288,1439,128,9,9000,2.134760774884108,-2.134760774884108,1.003529704749314,0.26890917318382296,0.0,14.809243900002912,2026-08-26T23:27:58.773504+00:00,1806733
wine_quality_red,map,2000,0,1151,288,1439,128,9,18000,1.963485130669613,-1.963485130669613,0.972912408286435,0.28219751986876257,0.0,29.469679399975576,2026-08-26T23:28:28.266268+00:00,1806733
wine_quality_red,map,2000,1,1151,288,1439,128,9,18000,3.0395930727519973,-3.0395930727519973,1.137356435306633,0.22577416629907285,0.0,29.480620100046508,2026-08-26T23:28:57.769020+00:00,1806733
wine_quality_red,map,2000,2,1151,288,1439,128,9,18000,2.234553723091247,-2.234553723091247,1.0191079103293639,0.2614188444177595,0.0,29.480792900081724,2026-08-26T23:29:27.272316+00:00,1806733
kin8nm,map,50,0,5898,1475,7373,128,47,2350,0.24681436143159013,-0.24681436143159013,0.3080620452899287,0.0822944187678729,0.0,3.8701213999884203,2026-08-26T23:29:31.194634+00:00,1806733
kin8nm,map,50,1,5898,1475,7373,128,47,2350,0.1905591114805745,-0.1905591114805745,0.2922563297830929,0.07865864274011956,0.0,3.794524500030093,2026-08-26T23:29:35.011308+00:00,1806733
kin8nm,map,50,2,5898,1475,7373,128,47,2350,0.17950237476284567,-0.17950237476284567,0.2893654417198553,0.08807573289056948,0.0,3.829324600053951,2026-08-26T23:29:38.863156+00:00,1806733
kin8nm,map,100,0,5898,1475,7373,128,47,4700,0.13227840492662568,-0.13227840492662568,0.2761748540426204,0.0750938541839805,0.0,7.667821400100365,2026-08-26T23:29:46.554058+00:00,1806733
kin8nm,map,100,1,5898,1475,7373,128,47,4700,0.22341806307570794,-0.22341806307570794,0.29896787373134964,0.07241453653789545,0.0,7.672678699949756,2026-08-26T23:29:54.249927+00:00,1806733
kin8nm,map,100,2,5898,1475,7373,128,47,4700,0.17670369759403146,-0.17670369759403146,0.28873706976904473,0.08303806251735238,0.0,7.689851299975999,2026-08-26T23:30:01.962983+00:00,1806733
kin8nm,map,200,0,5898,1475,7373,128,47,9400,0.15700198747546681,-0.15700198747546681,0.2824601385580855,0.07262365855321541,0.0,15.312518000020646,2026-08-26T23:30:17.299210+00:00,1806733
kin8nm,map,200,1,5898,1475,7373,128,47,9400,0.13465789789383728,-0.13465789789383728,0.2761299065058088,0.06896854694663547,0.0,15.43787040002644,2026-08-26T23:30:32.759817+00:00,1806733
kin8nm,map,200,2,5898,1475,7373,128,47,9400,0.17735448083699848,-0.17735448083699848,0.2875343463620799,0.07217507339260287,0.0,15.313939200015739,2026-08-26T23:30:48.096279+00:00,1806733
kin8nm,map,500,0,5898,1475,7373,128,47,23500,0.15066629429319425,-0.15066629429319425,0.28020409651779793,0.06940346316690628,0.0,38.73061000008602,2026-08-26T23:31:26.848993+00:00,1806733
