dataset,method,variant,dimension,split_index,n_train_full,n_train,n_removed,feature_n_distinct,gap_leak_fraction,n_gap_in,n_gap_out,mean_std_epi_gap_in,mean_std_epi_gap_out,epi_gap_ratio,rmse_gap_in,rmse_gap_out,ll_gap_in,ll_gap_out,picp95_gap_in,picp95_gap_out,timestamp,git_commit
concrete,mcd,gap,4,4,927,620,307,111,0.5112903225806451,36,67,2.832146119948232,3.009750386585566,0.9409903666998716,5.7745459455175325,6.230584956007885,-3.1812696113830867,-3.267093276756498,0.9166666666666666,0.9253731343283582,2026-08-31T17:19:36.983223+00:00,1806733
concrete,mcd,gap,5,4,927,620,307,284,0.0112903225806451,36,67,2.9796811842173567,2.9232009648666177,1.019321360395527,6.780835230565772,6.695508070323963,-3.348662931598003,-3.3418163171360056,0.9444444444444444,0.9253731343283582,2026-08-31T17:19:39.078861+00:00,1806733
concrete,mcd,gap,6,4,927,611,316,302,0.0,27,76,2.698053684975043,2.9906659061120737,0.9021581713493928,6.842894489157496,5.697166350735898,-3.361065055405513,-3.180485082624428,0.8888888888888888,0.9473684210526316,2026-08-31T17:19:39.004518+00:00,1806733
concrete,mcd,gap,7,4,927,619,308,14,0.1211631663974151,35,68,2.855824653644468,2.9386889482896588,0.9718022913948008,6.52218209553308,6.175749231143143,-3.301463525397807,-3.242351252338468,0.9714285714285714,0.9264705882352942,2026-08-31T17:19:40.905427+00:00,1806733
concrete,mcd,control,0,4,927,617,310,278,0.0032467532467532,32,71,2.811992713738591,2.7700758465093247,1.0151320287067545,4.71645927138483,6.879108524689614,-3.0412065750556803,-3.3638914246606424,1.0,0.9014084507042254,2026-08-31T17:19:45.747424+00:00,1806733
concrete,mcd,control,1,4,927,617,310,185,0.5040257648953301,37,66,2.721294800229457,2.8177461262622288,0.9657700439603778,6.453812710748267,6.1921238999357975,-3.296336763395824,-3.2453097167733618,0.918918918918919,0.9393939393939394,2026-08-31T17:19:45.828307+00:00,1806733
concrete,mcd,control,2,4,927,617,310,156,0.5105348460291734,33,70,2.8016382684145205,2.7743584154873977,1.0098328510025372,6.305246178894982,6.278943119847011,-3.279120867042866,-3.2563416134324683,0.9090909090909092,0.9428571428571428,2026-08-31T17:19:45.902466+00:00,1806733
concrete,mcd,control,3,4,927,617,310,195,0.1339869281045751,28,75,2.6059689186879527,2.849226962913791,0.9146231425603708,7.087995321013868,5.960984441966708,-3.408790775387171,-3.2094501312246213,0.8571428571428571,0.96,2026-08-31T17:19:45.971806+00:00,1806733
concrete,mcd,control,4,4,927,617,310,111,0.5112903225806451,36,67,2.678573996455497,2.839261015961181,0.9434053373034864,5.742079397337951,6.561691183522809,-3.178153794154293,-3.309572611390042,0.9722222222222222,0.9104477611940298,2026-08-31T17:19:46.047426+00:00,1806733
concrete,mcd,control,5,4,927,617,310,284,0.0112903225806451,36,67,2.8009766618115344,2.7734924196504736,1.009909615027729,5.144772802678912,6.82274335302118,-3.100042442552566,-3.351542889862612,0.9444444444444444,0.9253731343283582,2026-08-31T17:19:46.122944+00:00,1806733
concrete,mcd,control,6,4,927,617,310,302,0.0,27,76,2.5499413271427978,2.8659307382755457,0.8897428305183392,6.905811759514552,6.052484010523408,-3.359543180703879,-3.229568890443193,0.8888888888888888,0.9473684210526316,2026-08-31T17:19:46.197055+00:00,1806733
concrete,mcd,control,7,4,927,617,310,14,0.1211631663974151,35,68,2.704344398510498,2.823633794028376,0.9577532342295378,6.751154084667315,6.034798947575155,-3.338751566145722,-3.224979363788045,0.9428571428571428,0.9264705882352942,2026-08-31T17:19:46.280007+00:00,1806733
concrete,map,gap,0,4,927,616,311,278,0.0032467532467532,32,71,0.0,0.0,,7.02207717884009,7.920303482201212,-4.988803387580082,-5.810823897360127,0.5,0.647887323943662,2026-08-31T17:19:46.364633+00:00,1806733
concrete,map,gap,1,4,927,621,306,185,0.5040257648953301,37,66,0.0,0.0,,7.989077479181631,7.134753241892168,-6.709842289741975,-5.728269948285965,0.5945945945945946,0.7272727272727273,2026-08-31T17:19:48.386613+00:00,1806733
concrete,map,gap,2,4,927,617,310,156,0.5105348460291734,33,70,0.0,0.0,,9.256830206887136,6.78644393121512,-8.396704116561274,-5.372832749731537,0.5151515151515151,0.7285714285714285,2026-08-31T17:19:49.719341+00:00,1806733
concrete,map,gap,3,4,927,612,315,195,0.1339869281045751,28,75,0.0,0.0,,8.70375047558898,7.201963718169843,-6.694434838237291,-5.201120326382349,0.5,0.76,2026-08-31T17:19:49.701623+00:00,1806733
concrete,map,gap,4,4,927,620,307,111,0.5112903225806451,36,67,0.0,0.0,,8.97376687705222,6.738071778452358,-7.246101028842728,-4.927820630068026,0.5277777777777778,0.8059701492537313,2026-08-31T17:19:51.518918+00:00,1806733
concrete,map,gap,5,4,927,620,307,284,0.0112903225806451,36,67,0.0,0.0,,10.040830974829818,7.342375059280813,-12.803283566999491,-7.625266210118457,0.3888888888888889,0.6716417910447762,2026-08-31T17:19:57.160432+00:00,1806733
concrete,map,gap,6,4,927,611,316,302,0.0,27,76,0.0,0.0,,7.788734532954662,6.78903282617371,-6.745299895310632,-5.564193293318583,0.4074074074074074,0.7368421052631579,2026-08-31T17:19:57.073961+00:00,1806733
concrete,map,gap,7,4,927,619,308,14,0.1211631663974151,35,68,0.0,0.0,,11.855554212158353,5.9147480837923645,-11.658933791380708,-4.333825678035452,0.5428571428571428,0.7352941176470589,2026-08-31T17:19:59.198856+00:00,1806733
concrete,map,control,0,4,927,617,310,278,0.0032467532467532,32,71,0.0,0.0,,5.430560619441684,8.252711824134439,-3.95113273552478,-6.627910831471521,0.625,0.704225352112676,2026-08-31T17:20:00.799388+00:00,1806733
concrete,map,control,1,4,927,617,310,185,0.5040257648953301,37,66,0.0,0.0,,5.769504972634833,8.300876750288813,-4.214275289870885,-6.68317774009164,0.6486486486486487,0.696969696969697,2026-08-31T17:20:00.871935+00:00,1806733
concrete,map,control,2,4,927,617,310,156,0.5105348460291734,33,70,0.0,0.0,,5.782365582645825,8.173080162073425,-4.224573363664814,-6.5372427938618864,0.6666666666666666,0.6857142857142857,2026-08-31T17:20:00.949068+00:00,1806733
concrete,map,control,3,4,927,617,310,195,0.1339869281045751,28,75,0.0,0.0,,10.922689972179672,5.702376330663862,-10.176815201348136,-4.160894545780307,0.5714285714285714,0.72,2026-08-31T17:20:01.023428+00:00,1806733
concrete,map,control,4,4,927,617,310,111,0.5112903225806451,36,67,0.0,0.0,,7.156040676442155,7.664422076886312,-5.456562632037573,-5.978830773401768,0.6388888888888888,0.7014925373134329,2026-08-31T17:20:01.098211+00:00,1806733
concrete,map,control,5,4,927,617,310,284,0.0112903225806451,36,67,0.0,0.0,,6.345443586857454,8.038897048176326,-4.697934974774864,-6.386451604169789,0.6944444444444444,0.6716417910447762,2026-08-31T17:20:01.181872+00:00,1806733
