method,depth,dataset,seed,n_parameters,train_time_s,rmse_in_range,ll_in_range,picp95_in_range,mpiw95_in_range,median_std_epi_in_range,rmse_extrapolation,ll_extrapolation,picp95_extrapolation,mpiw95_extrapolation,median_std_epi_extrapolation,std_epi_at_m2,ratio_at_m2,std_epi_at_8,ratio_at_8,max_abs_delta_var_epi,max_abs_delta_var_epi_at_x,timestamp,git_commit,posterior_precision_lambda_min,posterior_precision_lambda_max,posterior_precision_cond,rmse_in_gap,ll_in_gap,picp95_in_gap,mpiw95_in_gap,median_std_epi_in_gap,gap_ratio
laplace,1,sin_gap,0,151,5.845567400014261,0.10304625284068719,0.8543592002228965,0.9525,0.3983832916713186,0.01644465849782145,0.22543193313937318,-0.24801917926433642,0.9675,1.6961744877610039,0.36724284343579994,0.9053302914156144,55.05315245893068,1.0018401706097593,60.92192007164397,0.012858640062842985,7.98998998998999,2026-08-31T20:59:02.007206+00:00,1806733,0.9887215770180859,1717863.5336254966,1737459.3349185835,0.12665367174410544,0.6129806870035123,0.975,0.6109518210434832,0.12034639548720585,7.318266627619482
laplace,2,sin_gap,0,2701,13.559396199998446,0.1061296553581959,0.8237028107129462,0.94,0.400242913369768,0.019860465823601348,0.7371511256311094,-1.8192985667475599,0.6,1.5337278355341852,0.32147831796700643,0.8826199949717346,44.441052028239234,0.3676462352566059,18.511460834907027,0.0053885947383369714,-1.2892892892892893,2026-08-31T20:59:19.269071+00:00,1806733,0.9975550387278863,340352.0798495054,341186.26705904177,0.10100241362098973,0.6039205448470524,0.985,0.7397050115877067,0.15994299085563712,8.053335318327104
ensemble,1,sin_gap,0,755,28.318228399992222,0.10349028458717087,0.8477140910504048,0.9475,0.39796650657188204,0.019585962395901584,0.222688206158952,-0.7713330933235077,0.63,0.4500153569159717,0.03549335258538904,0.12564819724775567,6.415216914439083,0.11871013749858768,6.060980568584575,0.00028599608830159884,7.98998998998999,2026-08-31T20:59:48.642742+00:00,1806733,,,,0.1242306500982894,0.6300816842360922,0.89,0.40656316938644194,0.027698417796379222,1.4141974357193288
ensemble,2,sin_gap,0,13505,39.771642500010785,0.1045125915868014,0.8350382187653682,0.9475,0.4003979523833367,0.014677285301779102,0.6370782119247593,-14.109733240843955,0.14,0.43507545588024954,0.04640232741856812,0.058135795820118005,3.9609365509213816,0.07938786791719908,5.408893149169494,4.112591278418844e-05,7.019019019019019,2026-08-31T21:00:28.474247+00:00,1806733,,,,0.10261054271271894,0.8573686638284951,0.935,0.39929421093020323,0.01940224985729956,1.3219236022446006
map,1,sin_gap,1,151,5.64833239998552,0.10400234837663351,0.8428221363966409,0.95,0.3919927969080109,0.0,0.21597980165301647,-0.9487171763144429,0.705,0.3919927969080109,0.0,0.0,,0.0,,0.0,-2.0,2026-08-31T21:00:34.177996+00:00,1806733,,,,0.1002236596829208,0.8814074617774768,0.93,0.3919927969080109,0.0,
map,2,sin_gap,1,2701,7.811631899996428,0.10008300042052827,0.8828162111305999,0.9575,0.3919927969080109,0.0,0.5974389982963489,-16.463021274477864,0.1675,0.3919927969080109,0.0,0.0,,0.0,,0.0,-2.0,2026-08-31T21:00:42.047299+00:00,1806733,,,,0.1122890943617303,0.7532045241604944,0.92,0.3919927969080109,0.0,
gp,0,sin_gap,1,3,0.691209999989951,0.09924364505969376,0.8905212283728747,0.9575,0.37986980469370557,0.013171934926111352,0.16370313836445846,0.25522707792194266,0.99,1.0758983513978475,0.21731537417305424,0.5754925692601435,43.69081478829031,0.5754925692601451,43.69081478829043,0.004397233180206517,7.98998998998999,2026-08-31T21:00:42.801961+00:00,1806733,,,,0.09883173168965921,0.89525129159665,0.96,0.40095245254134154,0.036790200517427596,2.7930748765313616
bbb,1,sin_gap,1,302,134.54516710000462,0.10644817758627027,0.7899849333421308,0.9775,0.5081148198738061,0.07801603666828813,0.497634541138453,-5.06114842719476,0.225,0.5344078623876088,0.09234890875901017,0.07271908605269196,0.9321043359570038,0.11690535666892526,1.498478539303251,0.00016499841468195844,3.3553553553553552,2026-08-31T21:02:57.473243+00:00,1806733,,,,0.17896029299652896,0.16420446213343823,0.85,0.5283504721588981,0.08060303758421936,1.0331598607979888
bbb,2,sin_gap,1,5402,221.63932429999113,0.10482528498248704,0.7980313525211398,0.985,0.5067280023179599,0.07707419943563508,0.9084151876869806,-22.224201989811082,0.095,0.5144222260739084,0.08452015340346222,0.0788656450344157,1.0232431295024564,0.09757549269329027,1.26599424201319,0.0006293664471393352,2.774774774774775,2026-08-31T21:06:39.338499+00:00,1806733,,,,0.16985386040491468,0.3819266582366519,0.955,0.6579619979266813,0.12666665814367492,1.6434378698860788
mcd,1,sin_gap,1,151,6.362451499997405,0.13947573024524854,0.5398519689518961,0.965,0.6129642070838685,0.1198218029030027,0.8718184873089664,-12.97860357788014,0.12,0.6527953562571938,0.13255622152875263,0.13722099314633976,1.1452088837072658,0.1326823641937514,1.107330727623582,0.011752108453887364,7.119119119119119,2026-08-31T21:06:45.899925+00:00,1806733,,,,0.2599722724184839,-0.9006898246201538,0.63,0.5205619826436556,0.08594166243918774,0.717245612710056
mcd,2,sin_gap,1,2701,9.156825599988224,0.11050606250241748,0.7545698360677089,0.98,0.5165230681503998,0.08570065609130267,0.9279700853887668,-21.465255272010655,0.0825,0.5397570667074133,0.09412305897474835,0.10188568552481249,1.1888553737122713,0.09566445029601527,1.1162627529256892,0.005658839620117213,6.938938938938939,2026-08-31T21:06:55.400200+00:00,1806733,,,,0.11999094030071593,0.6830507011463299,0.975,0.5408660953467104,0.09456730214458986,1.103460655468506
laplace,1,sin_gap,1,151,5.821864800003823,0.10400234837663351,0.8432590574446366,0.9525,0.39792601245125075,0.015533898420165759,0.21597980165301647,-0.09520248509237804,0.9875,1.7901181645254147,0.39173602221486714,1.0884915586116441,70.07201471065298,0.8779682894714663,56.51950757780851,0.012704368545431333,-2.0,2026-08-31T21:07:01.496802+00:00,1806733,0.9881339723992489,1372523.3359813439,1389005.3113433337,0.1002236596829208,0.8251206416701646,0.98,0.5100871818054874,0.08352715321730109,5.3770889288723565
laplace,2,sin_gap,1,2701,13.567806600010954,0.10008300042052827,0.8828494993103007,0.9625,0.39930173898727506,0.01723152801889826,0.5974389982963489,-0.8886547347435554,0.8975,1.5206772440526926,0.3667880218642886,0.7736923545399019,44.89981118861738,0.6420688884397132,37.26128569303545,0.005590511045894808,-2.0,2026-08-31T21:07:18.769560+00:00,1806733,0.9976506482595663,306548.73341540474,307270.6201817128,0.1122890943617303,0.5854905467942716,0.995,0.7508255956800661,0.15903611815160307,9.22936828220829
