dataset,method,seed,epoch,val_nll,val_ll,val_rmse,mean_var_aleatoric,mean_var_epistemic,n_fit,n_val,n_train_full,batch_size,steps_per_epoch,total_steps,elbo_samples,run_aborted,max_epoch_measured,run_train_time_s,timestamp,git_commit,on_grid
concrete,mcd,0,5,0.9839154289685464,-0.9839154289685464,0.549733535562232,0.757059723887622,0.0129936187068942,742,185,927,128,6,30,,False,2000,13.142901999992318,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,0,10,0.8168615851449896,-0.8168615851449896,0.4494004037954767,0.5555612845342994,0.0180780900394426,742,185,927,128,6,60,,False,2000,13.142901999992318,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,0,20,0.61665143311719,-0.61665143311719,0.3975842689212207,0.3247601377088289,0.0216570640275467,742,185,927,128,6,120,,False,2000,13.142901999992318,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,0,50,0.4087738817424189,-0.4087738817424189,0.3440864925770844,0.169881672234688,0.0253834684167856,742,185,927,128,6,300,,False,2000,13.142901999992318,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,0,100,0.3592928978088605,-0.3592928978088605,0.328970220799344,0.147465279926502,0.0260507547861919,742,185,927,128,6,600,,False,2000,13.142901999992318,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,0,200,0.3144312753071464,-0.3144312753071464,0.3154671491366869,0.1286888369463934,0.0290319257278902,742,185,927,128,6,1200,,False,2000,13.142901999992318,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,0,500,0.2739898304500479,-0.2739898304500479,0.3020119706426428,0.1149868086481971,0.0307257659896731,742,185,927,128,6,3000,,False,2000,13.142901999992318,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,0,1000,0.2471806111164954,-0.2471806111164954,0.2888416734495381,0.1140423448078813,0.0325268141595791,742,185,927,128,6,6000,,False,2000,13.142901999992318,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,0,2000,0.2566493979075817,-0.2566493979075817,0.2946997525965924,0.11189046935716,0.0335498499337889,742,185,927,128,6,12000,,False,2000,13.142901999992318,2026-08-27T09:49:57.132935+00:00,1806733,True
concrete,mcd,1,5,0.9827736125644564,-0.9827736125644564,0.5381963772139149,0.7703536516745259,0.0181086677160644,742,185,927,128,6,30,,False,2000,13.17064649995882,2026-08-27T09:49:57.132935+00:00,1806733,True
